Endeca Element	MARC tag	ind1	ind2	MARC Further constraint	MARC Subfields	INST
Subject Headings	600	.	.	.	abcdefghijklmnopqrstvxyz	TRLN
Subject Headings	610	.	.	.	abcdefghijklmnopqrstvxyz	TRLN
Subject Headings	611	.	.	.	acdefghijklmnopqrstvxyz	TRLN
Subject Headings	630	.	.	.	adfghklmnoprstvxyz	TRLN
Subject Headings	650	.	.	.	abcdevxyz	TRLN
Subject Headings	651	.	.	.	avxyz	TRLN
Subject Headings	653	.	.	.	a	TRLN
Subject Headings	690	.	.	.	ax	NCSU
Subject Headings	690	.	.	.	a	Duke
Subject Headings	691	.	.	.	abvxyz	TRLN
Subject Headings	655	.	.	.	abvxyz	TRLN
Subjects	600	.	.	.	abcdefghijklmnopqrstvxyz	TRLN
Subjects	610	.	.	.	abcdefghijklmnopqrstvxyz	TRLN
Subjects	611	.	.	.	acdefghijklmnopqrstvxyz	TRLN
Subjects	630	.	.	.	adfghklmnoprstvxyz	TRLN
Subjects	650	.	.	.	abcdevxyz	TRLN
Subjects	651	.	.	.	avxyz	TRLN
Subjects	653	.	.	.	a	TRLN
Subjects	690	.	.	.	ax	NCSU
Subjects	690	.	.	.	a	Duke
Subjects	691	.	.	.	abvxyz	TRLN
Subseries Linking	762	.	.	.	abcdghimnostwxy	TRLN
Summary	520	.	.	.	abu	TRLN
Supplement to Linking	772	.	.	.	abcdghikmnorstuwxyz	TRLN
Syndetics ISBN	020	.	.	.	a	TRLN
System Details	538	.	.	.	aiu	TRLN
Table of Contents	505	.	.	.	agrt	TRLN
Table of Contents author index	505	.	.	.	r	TRLN
Time Period	600	.	12347	.	y	TRLN
Time Period	610	.	12347	.	y	TRLN
Time Period	611	.	12347	.	y	TRLN
Time Period	630	.	12347	.	y	TRLN
Time Period	650	.	12347	.	y	TRLN
Time Period	651	.	12347	.	y	TRLN
Title Index	210	.	.	.	ab	TRLN
Title Sort	245	.	.	.	abfghknps	TRLN
